OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE_FIXED,REPORT_DATE,OCC_DATE_FIXED,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
38,GO-20141359688,2014-01-17,1.38993E+12,2014-01-15,1.38976E+12,2014,January,17,17,Friday    ,9,2014,January,15,15,Wednesday ,17,D22,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,159,Etobicoke City Centre,14,Islington-City Centre West (14),-79.53323287,43.6241534
39,GO-20141364302,2014-01-17,1.38993E+12,2014-01-17,1.38993E+12,2014,January,17,17,Friday    ,23,2014,January,17,17,Friday    ,21,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,65,Greenwood-Coxwell,65,Greenwood-Coxwell (65),-79.32462074,43.66489712
40,GO-20141360646,2014-01-17,1.38993E+12,2014-01-17,1.38993E+12,2014,January,17,17,Friday    ,12,2014,January,17,17,Friday    ,12,D54,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,200,Theft From Mail / Bag / Key,Theft Over,54,O'Connor-Parkview,54,O'Connor-Parkview (54),-79.311868,43.705612
41,GO-20141364249,2014-01-17,1.38993E+12,2014-01-11,1.38942E+12,2014,January,17,17,Friday    ,23,2014,January,11,11,Saturday  ,15,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,109,Caledonia-Fairbank,109,Caledonia-Fairbank (109),-79.46125276,43.69066171
42,GO-20141362315,2014-01-17,1.38993E+12,2013-06-05,1.3704E+12,2014,January,17,17,Friday    ,18,2013,June,5,156,Wednesday ,0,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,169,Bay-Cloverhill,76,Bay Street Corridor (76),-79.38592826,43.66689394
43,GO-20141366736,2014-01-18,1.39002E+12,2014-01-17,1.38993E+12,2014,January,18,18,Saturday  ,11,2014,January,17,17,Friday    ,17,D32,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),-79.40222079,43.74725778
44,GO-20141367464,2014-01-18,1.39002E+12,2014-01-18,1.39002E+12,2014,January,18,18,Saturday  ,14,2014,January,18,18,Saturday  ,14,D22,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,160,Mimico-Queensway,17,Mimico (includes Humber Bay Shores) (17),-79.49970043,43.61312528
45,GO-20141368890,2014-01-18,1.39002E+12,2014-01-18,1.39002E+12,2014,January,18,18,Saturday  ,18,2014,January,18,18,Saturday  ,18,D43,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,138,Eglinton East,138,Eglinton East (138),-79.24616066,43.73709117
46,GO-20141372418,2014-01-19,1.39011E+12,2014-01-16,1.38985E+12,2014,January,19,19,Sunday    ,11,2014,January,16,16,Thursday  ,13,D31,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,21,Humber Summit,21,Humber Summit (21),-79.55950738,43.75073466
47,GO-20141371719,2014-01-19,1.39011E+12,2014-01-03,1.38873E+12,2014,January,19,19,Sunday    ,8,2014,January,3,3,Friday    ,8,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,140,Guildwood,140,Guildwood (140),-79.19164669,43.75487084
48,GO-20141370340,2014-01-19,1.39011E+12,2014-01-18,1.39002E+12,2014,January,19,19,Sunday    ,0,2014,January,18,18,Saturday  ,23,D53,Bar / Restaurant,Commercial,2130,210,Theft Over,Theft Over,174,South Eglinton-Davisville,104,Mount Pleasant West (104),-79.39682564,43.70705299
49,GO-20141377375,2014-01-20,1.39019E+12,2014-01-14,1.38968E+12,2014,January,20,20,Monday    ,14,2014,January,14,14,Tuesday   ,12,D12,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,112,Beechborough-Greenbrook,112,Beechborough-Greenbrook (112),-79.46853268,43.69648519
50,GO-20141380686,2014-01-20,1.39019E+12,2014-01-10,1.38933E+12,2014,January,20,20,Monday    ,21,2014,January,10,10,Friday    ,14,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.38357494,43.64791819
51,GO-20141377896,2014-01-20,1.39019E+12,2013-11-14,1.38441E+12,2014,January,20,20,Monday    ,12,2013,November,14,318,Thursday  ,8,D55,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,63,The Beaches,63,The Beaches (63),-79.28523211,43.67311149
52,GO-20141380597,2014-01-20,1.39019E+12,2014-01-20,1.39019E+12,2014,January,20,20,Monday    ,20,2014,January,20,20,Monday    ,16,D31,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2130,210,Theft Over,Theft Over,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.51334606,43.72198096
53,GO-20141382896,2014-01-21,1.39028E+12,2014-01-07,1.38907E+12,2014,January,21,21,Tuesday   ,8,2014,January,7,7,Tuesday   ,16,D11,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,83,Dufferin Grove,83,Dufferin Grove (83),-79.43660113,43.65574765
54,GO-20141389838,2014-01-22,1.39037E+12,2013-03-15,1.36332E+12,2014,January,22,22,Wednesday ,11,2013,March,15,74,Friday    ,9,D23,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",Other,2130,210,Theft Over,Theft Over,4,Rexdale-Kipling,4,Rexdale-Kipling (4),-79.57267386,43.72412459
55,GO-20141395847,2014-01-23,1.39045E+12,2014-01-23,1.39045E+12,2014,January,23,23,Thursday  ,11,2014,January,23,23,Thursday  ,11,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39),-79.42410485,43.73220196
56,GO-20141396198,2014-01-23,1.39045E+12,2014-01-23,1.39045E+12,2014,January,23,23,Thursday  ,12,2014,January,23,23,Thursday  ,12,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,3,Thistletown-Beaumond Heights,3,Thistletown-Beaumond Heights (3),-79.55840085,43.73609284
57,GO-20141397979,2014-01-23,1.39045E+12,2013-12-29,1.38829E+12,2014,January,23,23,Thursday  ,17,2013,December,29,363,Sunday    ,12,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.38212731,43.64960854
58,GO-20141397728,2014-01-23,1.39045E+12,2014-01-17,1.38993E+12,2014,January,23,23,Thursday  ,18,2014,January,17,17,Friday    ,10,D53,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2130,210,Theft Over,Theft Over,95,Annex,95,Annex (95),-79.39413777,43.66871409
59,GO-20141401067,2014-01-24,1.39054E+12,2013-01-01,1.35702E+12,2014,January,24,24,Friday    ,9,2013,January,1,1,Tuesday   ,0,D33,"Open Areas (Lakes, Parks, Rivers)",Outside,2130,210,Theft Over,Theft Over,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.35174302,43.75129453
60,GO-20141408533,2014-01-24,1.39054E+12,2014-01-22,1.39037E+12,2014,January,24,24,Friday    ,12,2014,January,22,22,Wednesday ,17,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39),-79.42535313,43.716779
61,GO-20149000751,2014-01-25,1.39063E+12,2014-01-23,1.39045E+12,2014,January,25,25,Saturday  ,20,2014,January,23,23,Thursday  ,0,D54,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),-79.31742961,43.69950057
62,GO-20141414982,2014-01-26,1.39071E+12,2014-01-25,1.39063E+12,2014,January,26,26,Sunday    ,18,2014,January,25,25,Saturday  ,18,D51,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),-79.36213771,43.65019112
63,GO-20141413752,2014-01-26,1.39071E+12,2014-01-24,1.39054E+12,2014,January,26,26,Sunday    ,13,2014,January,24,24,Friday    ,13,D31,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,24,Black Creek,24,Black Creek (24),-79.52284505,43.77298854
64,GO-20141413263,2014-01-26,1.39071E+12,2013-12-11,1.38674E+12,2014,January,26,26,Sunday    ,12,2013,December,11,345,Wednesday ,12,D42,Unknown,Other,2130,200,Theft From Mail / Bag / Key,Theft Over,116,Steeles,116,Steeles (116),-79.32971459,43.8062933
65,GO-20141413424,2014-01-26,1.39071E+12,2014-01-26,1.39071E+12,2014,January,26,26,Sunday    ,12,2014,January,26,26,Sunday    ,12,NSA,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,NSA,NSA,NSA,NSA,-85.48874388,0
66,GO-20141413933,2014-01-27,1.3908E+12,2014-01-25,1.39063E+12,2014,January,27,27,Monday    ,19,2014,January,25,25,Saturday  ,14,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.5770627,43.69020601
67,GO-20141419564,2014-01-27,1.3908E+12,2014-01-09,1.38924E+12,2014,January,27,27,Monday    ,14,2014,January,9,9,Thursday  ,0,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.35938851,43.74586738
68,GO-20141418709,2014-01-27,1.3908E+12,2014-01-24,1.39054E+12,2014,January,27,27,Monday    ,13,2014,January,24,24,Friday    ,12,D13,Bar / Restaurant,Commercial,2130,210,Theft Over,Theft Over,94,Wychwood,94,Wychwood (94),-79.43073692,43.68064597
69,GO-20141427238,2014-01-28,1.39089E+12,2013-11-10,1.38406E+12,2014,January,28,28,Tuesday   ,19,2013,November,10,314,Sunday    ,12,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,81,Trinity-Bellwoods,81,Trinity-Bellwoods (81),-79.41205375,43.65070479
70,GO-20141424403,2014-01-28,1.39089E+12,2014-01-27,1.3908E+12,2014,January,28,28,Tuesday   ,14,2014,January,27,27,Monday    ,14,D23,Unknown,Other,2132,200,Theft From Motor Vehicle Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.57826407,43.7013178
71,GO-20141427641,2014-01-28,1.39089E+12,2014-01-24,1.39054E+12,2014,January,28,28,Tuesday   ,21,2014,January,24,24,Friday    ,9,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,7,Willowridge-Martingrove-Richview,7,Willowridge-Martingrove-Richview (7),-79.52848477,43.68303737
72,GO-20141431375,2014-01-29,1.39097E+12,2013-12-28,1.38821E+12,2014,January,29,29,Wednesday ,13,2013,December,28,362,Saturday  ,12,D22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,200,Theft From Mail / Bag / Key,Theft Over,161,Humber Bay Shores,17,Mimico (includes Humber Bay Shores) (17),-79.48723306,43.61454251
73,GO-20141430862,2014-01-29,1.39097E+12,2013-10-14,1.38172E+12,2014,January,29,29,Wednesday ,14,2013,October,14,287,Monday    ,23,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,94,Wychwood,94,Wychwood (94),-79.42867915,43.6772724
74,GO-20141431172,2014-01-29,1.39097E+12,2014-01-29,1.39097E+12,2014,January,29,29,Wednesday ,13,2014,January,29,29,Wednesday ,9,D53,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,95,Annex,95,Annex (95),-79.39082192,43.67003139
75,GO-20141432068,2014-01-29,1.39097E+12,2014-01-29,1.39097E+12,2014,January,29,29,Wednesday ,15,2014,January,29,29,Wednesday ,15,D13,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,96,Casa Loma,96,Casa Loma (96),-79.41420994,43.6753883
76,GO-20141433802,2014-01-29,1.39097E+12,2014-01-29,1.39097E+12,2014,January,29,29,Wednesday ,21,2014,January,29,29,Wednesday ,21,D52,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,2130,210,Theft Over,Theft Over,165,Harbourfront-CityPlace,77,Waterfront Communities-The Island (77),-79.38501786,43.64476941
77,GO-20141436885,2014-01-30,1.39106E+12,2014-01-30,1.39106E+12,2014,January,30,30,Thursday  ,12,2014,January,30,30,Thursday  ,12,D52,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,164,Wellington Place,77,Waterfront Communities-The Island (77),-79.39179086,43.64474235
78,GO-20141444562,2014-01-31,1.39114E+12,2014-01-31,1.39114E+12,2014,January,31,31,Friday    ,15,2014,January,31,31,Friday    ,13,D11,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,87,High Park-Swansea,87,High Park-Swansea (87),-79.47327303,43.65034387
79,GO-20141442432,2014-01-31,1.39114E+12,2014-01-30,1.39106E+12,2014,January,31,31,Friday    ,10,2014,January,30,30,Thursday  ,17,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,168,Downtown Yonge East,75,Church-Yonge Corridor (75),-79.375716,43.64963423
80,GO-2014141431694,2014-02-01,1.39123E+12,2014-01-31,1.39114E+12,2014,February,1,32,Saturday  ,0,2014,January,31,31,Friday    ,18,D11,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,87,High Park-Swansea,87,High Park-Swansea (87),-79.4513065,43.63933375
